Time,Agent,X,Y,Z,Status
1753561178.80,Agent_2,-0.54,-0.47,1.0,moving
1753561178.87,Agent_2,-0.49,-0.46,1.0,moving
1753561178.94,Agent_2,-0.45,-0.45,1.0,moving
1753561178.99,Agent_2,-0.40,-0.44,1.0,moving
1753561179.06,Agent_2,-0.35,-0.43,1.0,moving
1753561179.12,Agent_2,-0.30,-0.41,1.0,moving
1753561179.18,Agent_2,-0.25,-0.40,1.0,moving
1753561179.25,Agent_2,-0.20,-0.39,1.0,moving
1753561179.31,Agent_2,-0.15,-0.38,1.0,moving
1753561179.36,Agent_2,-0.10,-0.37,1.0,moving
1753561179.43,Agent_2,-0.05,-0.35,1.0,moving
1753561179.50,Agent_2,-0.01,-0.34,1.0,moving
1753561179.56,Agent_2,0.04,-0.33,1.0,moving
1753561179.62,Agent_2,0.09,-0.32,1.0,moving
1753561179.67,Agent_2,0.14,-0.31,1.0,moving
1753561179.72,Agent_2,0.19,-0.29,1.0,moving
1753561179.79,Agent_2,0.24,-0.28,1.0,moving
1753561179.85,Agent_2,0.29,-0.27,1.0,moving
1753561179.91,Agent_2,0.34,-0.26,1.0,moving
1753561179.98,Agent_2,0.39,-0.25,1.0,moving
1753561180.03,Agent_2,0.43,-0.23,1.0,moving
1753561180.10,Agent_2,0.48,-0.22,1.0,moving
1753561180.16,Agent_2,0.53,-0.21,1.0,moving
1753561180.22,Agent_2,0.58,-0.20,1.0,moving
1753561180.28,Agent_2,0.63,-0.18,1.0,moving
1753561180.34,Agent_2,0.68,-0.17,1.0,moving
1753561180.39,Agent_2,0.73,-0.16,1.0,moving
1753561180.46,Agent_2,0.78,-0.15,1.0,moving
1753561180.52,Agent_2,0.82,-0.14,1.0,moving
1753561180.57,Agent_2,0.87,-0.12,1.0,moving
1753561180.63,Agent_2,0.92,-0.11,1.0,moving
1753561180.69,Agent_2,0.97,-0.10,1.0,moving
1753561180.74,Agent_2,1.02,-0.09,1.0,moving
1753561180.81,Agent_2,1.07,-0.08,1.0,moving
1753561180.86,Agent_3,-0.91,-0.57,1.0,moving
1753561180.93,Agent_3,-0.86,-0.55,1.0,moving
1753561180.99,Agent_3,-0.81,-0.54,1.0,moving
1753561181.04,Agent_3,-0.76,-0.53,1.0,moving
1753561181.11,Agent_3,-0.71,-0.52,1.0,moving
1753561181.16,Agent_3,-0.66,-0.50,1.0,moving
1753561181.22,Agent_3,-0.62,-0.49,1.0,moving
1753561181.29,Agent_3,-0.57,-0.48,1.0,moving
1753561181.35,Agent_3,-0.52,-0.47,1.0,moving
1753561181.42,Agent_3,-0.47,-0.46,1.0,moving
1753561181.48,Agent_3,-0.42,-0.44,1.0,moving
1753561181.54,Agent_3,-0.37,-0.43,1.0,moving
1753561181.60,Agent_3,-0.32,-0.42,1.0,moving
1753561181.67,Agent_3,-0.27,-0.41,1.0,moving
1753561181.72,Agent_3,-0.22,-0.39,1.0,moving
